0	Kingdom	Phylum	Class	Order	Family	Genus
12362	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2850	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
2851	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2852	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2855	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
2856	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum
2857	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2858	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
2859	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2860	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2862	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2863	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas
2864	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2866	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2867	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7946	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7945	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
7944	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7943	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11343	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	unclassified
7942	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11342	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2849	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11341	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2848	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2846	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7992	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
7991	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7988	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
2823	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2826	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
2827	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2828	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
